name,city,price,stars,rating_text,num_reviews,total_rating,staff,facilities,cleanliness,comfort,value_for_money,location_rating
Radisson Blu Chattogram Bay View,Chittagong,14951,5,Good,270,7.9,8.2,8.1,8.5,8.5,7.4,8.7
Central Inn Dhaka City Centre,Dhaka,2879,3,Good,162,7.6,7.8,7.9,8,7.9,8.6,7.3
Amari Dhaka,Dhaka,21042,5,Good,120,7.9,,8.6,8.1,8.4,8.5,7
Hotel Farmis Garden,Sylhet,1595,3,Good,131,7.4,7.9,7.9,7.8,8.8,,
Hotel Valley Garden,Sylhet,3738,3,Good,122,7.3,8.3,7.7,8,8,7.6,8.2
Rezala Residence,Dhaka,1709,0,None,32,4.9,5.5,6.3,6.7,5.9,7.1,6.9
Grand Selim Resort & Tour – GSRT,Sylhet,2691,3,None,85,5.6,5.9,6.3,6.5,6.3,6.4,6.1
Pearl Hotel,Dhaka,10632,4,Very Good,31,8.5,8.6,9,9.2,8.3,8.7,7.5
After Hours Residence,Dhaka,5791,4,Good,54,7.9,8.8,8.3,8.8,8.7,8,8.8
Lakeshore Hotel & Apartments,Dhaka,16147,5,Very Good,53,8.2,9,8.2,8.7,8.4,7.8,8.9
"Holiday Inn Dhaka City Centre, an IHG Hotel",Dhaka,11739,5,Very Good,270,8.4,,8.9,8.9,9.2,9.2,8
Hotel Plaza,Bandarban,1772,0,None,17,5.5,5.2,7,8.8,,,
The Zabeer Dhaka,Dhaka,7460,3,Good,26,7.8,8.7,8.8,8.1,8.8,,
Maya Eco Apartment Service,Dhaka,3489,0,Good,48,7.5,7.8,8.3,8.8,5,,
Hotel Grand Circle Inn,Dhaka,3655,3,Good,322,7.5,,8.5,8,8.1,8.2,8
Banorupa Kuakata hotel,Kuakata,2711,0,Excellent,35,8.7,8.4,8.7,9.1,8.4,8.1,10
Hotel Star Pacific,Sylhet,6280,4,Good,21,7.7,8.2,7.1,8.5,,,
Marino Royal Hotel,Dhaka,8656,4,Good,148,7.8,8.8,8.1,8.5,8.4,7.9,8.8
Saint Martin Resort,Cox's Bazar,2215,0,None,11,4.7,6.7,,,,,
Shinepukur Suites,Dhaka,9967,0,Very Good,36,8.1,7.6,8.2,8.4,7.6,8.6,8.1
Galesia Hotel & Resort,Dhaka,4811,3,Good,200,7.3,,8.2,7.3,7.8,7.8,7.3
The Westin Dhaka,Dhaka,26469,5,Very Good,93,8.1,8.6,8.4,8.9,8.8,7.3,8.4
West Park Inn,Dhaka,3322,3,None,167,6.2,6.7,6.8,6.5,8.2,8.4,
Rahma’s B&B,Sylhet,4493,0,Exceptional,17,9.5,9,9.7,,,,
HOTEL BLUE BIRD,Dhaka,1993,3,None,384,5.7,6.4,6.4,6.5,6.3,7.8,6.9
Hotel Gulshan Lake View,Dhaka,4984,3,None,198,6,6.3,6.8,6.7,6.5,7.4,5
Hotel Suite Palace Dhaka,Dhaka,2879,3,Good,20,7.4,7,7.2,6.7,7,7.5,5
"The Midori by Lakeshore, Gulshan , Dhaka",Dhaka,14034,4,Good,46,7.9,,8.3,7.8,8.3,8.1,7.5
"The Midori by Lakeshore, Gulshan , Dhaka",Dhaka,10233,4,Good,46,7.9,,8.3,7.8,8.3,8.1,7.5
Asia Hotel & Resorts,Dhaka,5183,3,Good,121,7.4,8.6,7.8,7.9,7.9,7.4,7.4
Hotel Blue Castle,Dhaka,2769,3,Good,257,7.3,,8.3,7.6,7.7,7.6,7.5
Jatra Flagship Chattogram City Centre,Chittagong,3246,4,Very Good,189,8.4,9.3,8.4,9.1,9,8.5,8.5
White Palace Hotel,Dhaka,4945,3,Good,125,7.9,,8.7,8,8.1,8,7.6
White Park Hotel & Suites,Chittagong,3433,0,Good,23,7.1,8.1,8.2,6.3,,,
Hotel Bengal Canary Park,Dhaka,5281,4,Good,35,7.5,8.1,7.5,7.4,7.6,6.9,8.1
Hotel The Cox Today,Cox's Bazar,6831,5,None,21,6.2,7.1,6.8,6.3,6.4,,
HOTEL HERITAGE,Chittagong,1216,2,None,141,6.6,6.6,6.7,6.9,7.3,7.4,7.3
Lakeshore Banani,Dhaka,9303,4,Good,69,7.9,8.9,8.2,8.8,8.7,7.9,8.6
Hotel Sea Crown,Cox's Bazar,5537,3,Good,459,7,7.4,7.5,7.1,9.1,8,
Hotel Shopno Nibash,Dhaka,1844,3,None,16,6.6,7.2,7.5,7.5,7.2,8.5,2.5
Taz Garden House,Dhaka,2104,2,Very Good,132,8.1,7.9,7.9,8.2,8.1,8.8,
Affordable AC Room With Shared Bathroom in Naya Paltan Free WIFI,Dhaka,736,0,Good,17,7.1,7.4,7.5,7.7,,,
"Crowne Plaza Dhaka Gulshan, an IHG Hotel",Dhaka,14287,5,Very Good,307,8.3,,9,8.3,8.8,8.7,7.8
"Crowne Plaza Dhaka Gulshan, an IHG Hotel",Dhaka,15616,5,Very Good,307,8.3,,9,8.3,8.8,8.7,7.8
